date,source,source_file,cycle_idx,p0_r,p3_r,p7_r,amplitude,duration_s,validated,tilt_deg,q_error_deg
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,123,7.7929,18.3138,6.2991,18.3138,7.3150,1,9.412,9.690
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,124,6.2991,15.4940,2.1527,15.4940,7.6010,1,5.770,12.927
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,125,2.1527,10.4490,0.5910,10.4490,5.7750,1,3.313,12.550
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,126,0.5910,7.8069,0.2952,7.8069,6.4350,1,2.627,13.417
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,127,4.8896,16.0091,4.6996,16.0091,7.0950,1,6.349,7.770
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,128,8.3761,15.2912,5.7085,15.2912,5.7200,1,10.326,11.670
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,129,7.6997,17.8617,10.8452,17.8617,6.4350,1,8.692,10.473
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,130,8.8952,19.4297,10.7882,19.4297,3.0140,1,8.548,8.548
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,131,10.7882,20.3491,13.0302,20.3491,9.2070,1,11.258,16.270
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,132,13.0302,23.1313,6.0718,23.1313,4.5980,1,14.448,18.228
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,133,6.0718,14.2825,8.4964,14.2825,2.0570,1,2.961,7.743
2026-03-09,2026-03-09,DATA_20260309_114706.BIN,134,8.4964,22.1178,11.3966,22.1178,5.2910,1,5.926,8.806
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,135,18.7551,31.6695,16.1014,31.6695,4.7410,1,13.218,13.265
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,136,22.1405,37.1319,23.6445,37.1319,6.7760,1,9.472,25.604
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,137,23.6445,35.0033,23.4406,35.0033,4.0480,1,11.565,23.829
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,138,8.7819,30.8002,15.5465,30.8002,9.2290,1,25.457,36.466
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,139,19.7321,41.0188,14.8795,41.0188,9.7020,1,10.258,18.572
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,140,16.2287,29.3264,16.8837,29.3264,5.6650,1,15.967,28.677
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,141,13.7507,36.5768,20.9281,36.5768,4.3560,1,18.394,29.488
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,142,20.9281,34.6759,16.6266,34.6759,2.4090,1,9.513,27.094
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,143,6.7217,37.7240,26.0043,37.7240,4.9830,1,27.841,32.281
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,144,4.3577,40.0672,7.6330,40.0672,2.8600,1,21.049,32.754
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,145,7.6330,37.4191,12.6866,37.4191,5.7640,1,13.593,24.783
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,146,15.2794,30.8893,15.0668,30.8893,3.1680,1,13.901,25.553
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,147,28.3936,43.3836,21.9165,43.3836,7.8320,1,31.644,32.815
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,148,21.9165,42.0130,23.8417,42.0130,2.4310,1,19.392,27.993
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,149,23.8417,43.4457,24.6395,43.4457,3.5090,1,21.540,26.101
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,150,39.8655,55.2862,39.7025,55.2862,4.4660,1,27.105,27.110
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,151,42.6648,51.8003,31.2929,51.8003,6.5890,1,32.074,38.367
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,152,31.2929,49.1208,37.3962,49.1208,7.6670,1,18.460,21.492
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,153,37.3962,56.7825,39.8892,56.7825,7.7440,1,31.396,33.202
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,154,39.9252,50.7375,34.7955,50.7375,7.0400,1,30.560,31.821
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,155,41.5386,77.1042,35.2019,77.1042,3.8500,1,129.580,139.938
2026-03-09,2026-03-09,DATA_20260309_120000.BIN,156,16.4193,56.9987,70.5400,70.5400,1.6940,1,177.414,177.414
